ward_name,ward_number,project_type
Spadina-Fort York,10,New Park
Willowdale,18,Park or Facility Improvements
Toronto Centre,13,Park or Facility Improvements
Scarborough-Guildwood,24,New Park
York South-Weston,5,Playground Improvements
Toronto Centre,13,Park or Facility Improvements
Scarborough-Agincourt,22,Playground Improvements
Don Valley East,16,New Park
Don Valley East,16,New Park
Etobicoke-Lakeshore,3,New Park
University-Rosedale,11,New Park
Spadina-Fort York,10,New Park
Etobicoke Centre,2,Park or Facility Improvements
University-Rosedale,11,Playground Improvements
Scarborough Southwest,20,Master Plan or Study
York Centre,6,New Park
York South-Weston,5,Park or Facility Improvements
Etobicoke-Lakeshore,3,New Park
York Centre,6,Park or Facility Improvements
Spadina-Fort York,10,New Park
Etobicoke-Lakeshore,3,New Park
Eglinton-Lawrence,8,Park or Facility Improvements
Spadina-Fort York,10,Master Plan or Study
Beaches-East York,19,Park or Facility Improvements
York South-Weston,5,Park or Facility Improvements
Scarborough-Guildwood,24,Park or Facility Improvements
Toronto-St. Paul's,12,Playground Improvements
Etobicoke-Lakeshore,3,Playground Improvements
York Centre,6,Park or Facility Improvements
Don Valley West,15,Park or Facility Improvements
University-Rosedale,11,New Park
Humber River-Black Creek,7,Playground Improvements
York Centre,6,Playground Improvements
Willowdale,18,New Park
Etobicoke Centre,2,Playground Improvements
Etobicoke-Lakeshore,3,New Park
Scarborough Centre,21,Master Plan or Study
Eglinton-Lawrence,8,Playground Improvements
Davenport,9,Playground Improvements
Eglinton-Lawrence,8,Master Plan or Study
Etobicoke-Lakeshore,3,Park or Facility Improvements
Etobicoke Centre,2,Master Plan or Study
Davenport,9,New Park
Don Valley North,17,Playground Improvements
Toronto-St. Paul's,12,New Community Recreation Centre
Etobicoke Centre,2,Playground Improvements
Don Valley West,15,Master Plan or Study
York Centre,6,New Park
Eglinton-Lawrence,8,Park or Facility Improvements
York South-Weston,5,Master Plan or Study
Spadina-Fort York,10,New Park
Don Valley North,17,Playground Improvements
Toronto-St. Paul's,12,Master Plan or Study
Scarborough-Guildwood,24,Park or Facility Improvements
Don Valley East,16,New Community Recreation Centre
Don Valley North,17,Park or Facility Improvements
Willowdale,18,Playground Improvements
Etobicoke-Lakeshore,3,Playground Improvements
Scarborough Southwest,20,Playground Improvements
Toronto-St. Paul's,12,New Park
Toronto Centre,13,New Park
Parkdale-High Park,4,New Community Recreation Centre
Scarborough Southwest,20,New Park
Spadina-Fort York,10,New Park
Scarborough-Rouge Park,25,New Community Recreation Centre
York South-Weston,5,New Park
Toronto Centre,13,Park or Facility Improvements
Spadina-Fort York,10,Park or Facility Improvements
Eglinton-Lawrence,8,Park or Facility Improvements
Scarborough Centre,21,New Park
Etobicoke Centre,2,Master Plan or Study
Toronto Centre,13,Park or Facility Improvements
Don Valley East,16,New Park
Toronto-Danforth,14,Playground Improvements
Etobicoke-Lakeshore,3,Park or Facility Improvements
Don Valley West,15,New Park
York Centre,6,Park or Facility Improvements
Beaches-East York,19,Park or Facility Improvements
